,Q,PS,TS
1948-09-18,-9999.0,0.0,9.2
1948-09-19,-9999.0,0.0,10.4
1948-09-20,-9999.0,0.0,9.3
1948-09-21,-9999.0,0.0,6.5
1948-09-22,-9999.0,0.0,5.4
1948-09-23,-9999.0,0.0,6.6
1948-09-24,-9999.0,0.0,9.2
1948-09-25,-9999.0,0.0,8.1
1948-09-26,-9999.0,0.0,7.9
1948-09-27,-9999.0,0.0,9.3
1948-09-28,-9999.0,0.0,9.6
1948-09-29,-9999.0,0.0,11.0
1948-09-30,-9999.0,0.0,8.9
1948-10-01,-9999.0,0.0,8.9
1948-10-02,-9999.0,0.0,9.1
1948-10-03,-9999.0,0.0,8.8
1948-10-04,-9999.0,0.0,7.7
1948-10-05,-9999.0,0.0,5.3
1948-10-06,-9999.0,0.0,3.9
1948-10-07,-9999.0,0.0,2.5
1948-10-08,-9999.0,0.0,4.5
1948-10-09,-9999.0,0.0,6.4
1948-10-10,-9999.0,0.0,5.8
1948-10-11,-9999.0,0.0,5.8
1948-10-12,-9999.0,0.0,4.6
1948-10-13,-9999.0,0.0,3.9
1948-10-14,-9999.0,0.1,6.0
1948-10-15,-9999.0,0.1,5.4
1948-10-16,-9999.0,9.0,4.5
1948-10-17,-9999.0,11.2,1.5
1948-10-18,-9999.0,5.7,0.4
1948-10-19,-9999.0,0.9,3.9
1948-10-20,-9999.0,0.0,1.7
1948-10-21,-9999.0,0.0,2.6
1948-10-22,-9999.0,0.0,3.5
1948-10-23,-9999.0,0.0,3.7
1948-10-24,-9999.0,8.6,3.8
1948-10-25,-9999.0,16.5,2.0
1948-10-26,-9999.0,13.9,3.5
1948-10-27,-9999.0,5.6,1.4
1948-10-28,-9999.0,1.4,0.0
1948-10-29,-9999.0,0.9,0.0
1948-10-30,-9999.0,0.0,4.8
1948-10-31,-9999.0,0.1,2.3
1948-11-01,-9999.0,0.1,0.0
1948-11-02,-9999.0,0.7,2.5
1948-11-03,-9999.0,0.1,4.3
1948-11-04,-9999.0,8.0,1.4
1948-11-05,-9999.0,7.8,-0.4
1948-11-06,-9999.0,0.9,2.3
1948-11-07,-9999.0,2.6,4.2
1948-11-08,-9999.0,2.8,-0.6
1948-11-09,-9999.0,0.0,-2.0
1948-11-10,-9999.0,0.0,0.6
1948-11-11,-9999.0,0.0,2.5
1948-11-12,-9999.0,0.0,2.5
1948-11-13,-9999.0,0.0,5.2
1948-11-14,-9999.0,0.0,4.3
1948-11-15,-9999.0,0.2,4.1
1948-11-16,-9999.0,0.5,-1.5
1948-11-17,-9999.0,0.0,-2.3
1948-11-18,-9999.0,0.0,-2.5
1948-11-19,-9999.0,0.0,0.6
1948-11-20,-9999.0,0.0,0.0
1948-11-21,-9999.0,0.0,0.2
1948-11-22,-9999.0,0.0,-2.7
1948-11-23,-9999.0,0.0,-0.4
1948-11-24,-9999.0,0.0,-0.5
1948-11-25,-9999.0,0.0,-2.6
1948-11-26,-9999.0,0.0,-4.0
1948-11-27,-9999.0,0.0,-1.2
1948-11-28,-9999.0,0.0,-1.1
1948-11-29,-9999.0,0.0,-3.7
1948-11-30,-9999.0,0.0,-5.0
1948-12-01,-9999.0,0.0,-3.9
1948-12-02,-9999.0,0.0,-0.3
1948-12-03,-9999.0,2.3,0.6
1948-12-04,-9999.0,0.6,-3.8
1948-12-05,-9999.0,0.0,-3.3
1948-12-06,-9999.0,0.0,-3.5
1948-12-07,-9999.0,0.0,-3.2
1948-12-08,-9999.0,4.4,-3.9
1948-12-09,-9999.0,3.7,-5.0
1948-12-10,-9999.0,0.6,-3.8
1948-12-11,-9999.0,0.4,-3.0
1948-12-12,-9999.0,0.1,-0.5
1948-12-13,-9999.0,0.0,2.3
1948-12-14,-9999.0,0.1,-0.3
1948-12-15,-9999.0,1.6,-2.2
1948-12-16,-9999.0,0.3,-2.1
1948-12-17,-9999.0,1.4,-6.8
1948-12-18,-9999.0,2.8,-8.2
1948-12-19,-9999.0,0.0,-5.2
1948-12-20,-9999.0,0.0,-5.5
1948-12-21,-9999.0,0.0,-4.2
1948-12-22,-9999.0,0.0,-3.2
1948-12-23,-9999.0,0.0,-3.1
1948-12-24,-9999.0,0.0,-4.1
1948-12-25,-9999.0,0.0,-5.2
1948-12-26,-9999.0,0.0,-6.5
1948-12-27,-9999.0,2.1,-8.7
1948-12-28,-9999.0,0.3,-8.4
1948-12-29,-9999.0,2.2,-6.1
1948-12-30,-9999.0,8.1,-3.6
1948-12-31,-9999.0,19.3,-6.2
1949-01-01,-9999.0,25.4,-8.9
1949-01-02,-9999.0,7.4,-2.5
1949-01-03,-9999.0,0.0,-7.8
1949-01-04,-9999.0,0.0,-8.7
1949-01-05,-9999.0,0.0,-4.9
1949-01-06,-9999.0,0.0,1.1
1949-01-07,-9999.0,0.0,2.6
1949-01-08,-9999.0,0.1,-4.2
1949-01-09,-9999.0,1.7,-6.5
1949-01-10,-9999.0,0.4,-6.1
1949-01-11,-9999.0,0.0,-5.7
1949-01-12,-9999.0,0.0,-5.2
1949-01-13,-9999.0,0.0,-6.8
1949-01-14,-9999.0,0.0,-10.1
1949-01-15,-9999.0,0.0,-4.2
1949-01-16,-9999.0,0.0,0.2
1949-01-17,-9999.0,0.0,-2.0
1949-01-18,-9999.0,0.0,-3.1
1949-01-19,-9999.0,0.0,-2.9
1949-01-20,-9999.0,0.0,-1.9
1949-01-21,-9999.0,0.0,-3.6
1949-01-22,-9999.0,0.0,-2.8
1949-01-23,-9999.0,0.0,-4.8
1949-01-24,-9999.0,0.0,-4.5
1949-01-25,-9999.0,0.0,-5.8
1949-01-26,-9999.0,0.0,0.6
1949-01-27,-9999.0,0.0,2.1
1949-01-28,-9999.0,0.0,-1.6
1949-01-29,-9999.0,0.0,1.7
1949-01-30,-9999.0,0.0,0.9
1949-01-31,-9999.0,0.0,-3.8
1949-02-01,-9999.0,0.0,-7.2
1949-02-02,-9999.0,0.0,-7.7
1949-02-03,-9999.0,0.0,-11.9
1949-02-04,-9999.0,0.0,-9.4
1949-02-05,-9999.0,0.0,-3.1
1949-02-06,-9999.0,0.0,-1.5
1949-02-07,-9999.0,0.0,-0.8
1949-02-08,-9999.0,0.0,-3.2
1949-02-09,-9999.0,0.0,-0.9
1949-02-10,-9999.0,0.0,0.1
1949-02-11,-9999.0,0.0,-1.5
1949-02-12,-9999.0,0.7,-4.2
1949-02-13,-9999.0,0.0,-5.0
1949-02-14,-9999.0,0.0,-0.8
1949-02-15,-9999.0,0.0,-2.2
1949-02-16,-9999.0,0.0,-1.6
1949-02-17,-9999.0,0.0,1.9
1949-02-18,-9999.0,0.8,2.0
1949-02-19,-9999.0,0.0,0.8
1949-02-20,-9999.0,0.0,1.1
1949-02-21,-9999.0,0.0,1.4
1949-02-22,-9999.0,0.0,2.7
1949-02-23,-9999.0,0.0,-0.1
1949-02-24,-9999.0,0.0,0.6
1949-02-25,-9999.0,0.0,-1.1
1949-02-26,-9999.0,0.0,0.2
1949-02-27,-9999.0,0.6,0.2
1949-02-28,-9999.0,1.2,-4.8
1949-03-01,-9999.0,4.9,-6.1
1949-03-02,-9999.0,0.6,-7.8
1949-03-03,-9999.0,0.0,-9.6
1949-03-04,-9999.0,0.0,-9.1
1949-03-05,-9999.0,0.0,-10.8
1949-03-06,-9999.0,0.6,-11.6
1949-03-07,-9999.0,0.9,-10.3
1949-03-08,-9999.0,15.8,-6.9
1949-03-09,-9999.0,28.9,-8.7
1949-03-10,-9999.0,13.6,-6.2
1949-03-11,-9999.0,1.0,-2.1
1949-03-12,-9999.0,0.0,0.3
1949-03-13,-9999.0,0.0,0.0
1949-03-14,-9999.0,0.4,0.7
1949-03-15,-9999.0,0.0,1.4
1949-03-16,-9999.0,0.0,1.0
1949-03-17,-9999.0,0.0,0.3
1949-03-18,-9999.0,0.0,0.5
1949-03-19,-9999.0,0.2,-4.2
1949-03-20,-9999.0,0.0,-5.7
1949-03-21,-9999.0,0.0,-7.0
1949-03-22,-9999.0,0.0,-3.7
1949-03-23,-9999.0,1.9,-1.2
1949-03-24,-9999.0,0.0,2.6
1949-03-25,-9999.0,0.0,1.6
1949-03-26,-9999.0,0.0,1.9
1949-03-27,-9999.0,0.0,-0.4
1949-03-28,-9999.0,0.0,4.4
1949-03-29,-9999.0,0.0,2.4
1949-03-30,-9999.0,0.0,2.6
1949-03-31,-9999.0,0.0,1.5
1949-04-01,-9999.0,1.2,0.8
1949-04-02,-9999.0,0.0,2.4
1949-04-03,-9999.0,0.0,3.0
1949-04-04,-9999.0,0.0,6.0
1949-04-05,-9999.0,2.3,5.8
1949-04-06,-9999.0,10.7,7.4
1949-04-07,-9999.0,8.3,1.6
1949-04-08,-9999.0,0.0,-2.4
1949-04-09,-9999.0,0.0,-4.0
1949-04-10,-9999.0,0.0,-2.5
1949-04-11,-9999.0,0.0,-0.3
1949-04-12,-9999.0,0.0,3.1
1949-04-13,-9999.0,0.0,8.0
1949-04-14,-9999.0,0.0,11.9
1949-04-15,-9999.0,0.1,11.6
1949-04-16,-9999.0,0.0,12.1
1949-04-17,-9999.0,0.0,10.3
1949-04-18,-9999.0,0.0,10.1
1949-04-19,-9999.0,0.0,10.5
1949-04-20,-9999.0,0.3,11.3
1949-04-21,-9999.0,1.3,8.1
1949-04-22,-9999.0,5.9,7.7
1949-04-23,-9999.0,4.4,9.9
1949-04-24,-9999.0,5.6,8.4
1949-04-25,-9999.0,2.3,5.0
1949-04-26,-9999.0,2.2,0.2
1949-04-27,-9999.0,0.0,0.9
1949-04-28,-9999.0,6.9,3.8
1949-04-29,-9999.0,10.4,4.4
1949-04-30,-9999.0,8.0,4.2
1949-05-01,-9999.0,33.5,5.1
1949-05-02,-9999.0,41.6,5.3
1949-05-03,-9999.0,20.3,3.8
1949-05-04,-9999.0,9.4,4.0
1949-05-05,-9999.0,2.3,2.6
1949-05-06,-9999.0,0.7,2.7
1949-05-07,-9999.0,0.0,4.3
1949-05-08,-9999.0,0.0,4.5
1949-05-09,-9999.0,0.0,6.0
1949-05-10,-9999.0,0.0,2.6
1949-05-11,-9999.0,0.0,-0.8
1949-05-12,-9999.0,0.1,-1.0
1949-05-13,-9999.0,3.3,0.4
1949-05-14,-9999.0,1.7,1.0
1949-05-15,-9999.0,0.4,4.3
1949-05-16,-9999.0,1.8,4.3
1949-05-17,-9999.0,8.6,5.2
1949-05-18,-9999.0,15.3,3.6
1949-05-19,-9999.0,7.6,1.5
1949-05-20,-9999.0,0.0,3.3
1949-05-21,-9999.0,0.0,4.8
1949-05-22,-9999.0,0.0,6.1
1949-05-23,-9999.0,0.5,6.8
1949-05-24,-9999.0,0.4,7.1
1949-05-25,-9999.0,3.0,7.9
1949-05-26,-9999.0,0.7,5.4
1949-05-27,-9999.0,0.0,7.6
1949-05-28,-9999.0,3.1,9.8
1949-05-29,-9999.0,2.8,11.8
1949-05-30,-9999.0,14.8,9.5
1949-05-31,-9999.0,7.1,4.6
1949-06-01,-9999.0,5.8,4.6
1949-06-02,-9999.0,5.3,5.1
1949-06-03,-9999.0,3.7,3.8
1949-06-04,-9999.0,0.0,9.2
1949-06-05,-9999.0,0.1,7.2
1949-06-06,-9999.0,0.0,9.3
1949-06-07,-9999.0,2.4,11.4
1949-06-08,-9999.0,5.7,12.1
1949-06-09,-9999.0,1.2,12.3
1949-06-10,-9999.0,0.9,9.7
1949-06-11,-9999.0,0.3,9.7
1949-06-12,-9999.0,0.0,9.9
1949-06-13,-9999.0,0.0,8.9
1949-06-14,-9999.0,1.2,11.2
1949-06-15,-9999.0,0.8,12.1
1949-06-16,-9999.0,6.6,11.3
1949-06-17,-9999.0,0.0,10.6
1949-06-18,-9999.0,0.0,8.2
1949-06-19,-9999.0,0.0,8.0
1949-06-20,-9999.0,3.6,9.8
1949-06-21,-9999.0,0.0,11.1
1949-06-22,-9999.0,0.0,12.5
1949-06-23,-9999.0,1.4,11.1
1949-06-24,-9999.0,1.6,9.2
1949-06-25,-9999.0,0.0,9.2
1949-06-26,-9999.0,0.0,9.2
1949-06-27,-9999.0,0.0,11.1
1949-06-28,-9999.0,0.0,13.2
1949-06-29,-9999.0,0.0,13.8
1949-06-30,-9999.0,0.0,13.3
1949-07-01,-9999.0,0.0,11.7
1949-07-02,-9999.0,0.0,11.3
1949-07-03,-9999.0,0.0,13.7
1949-07-04,-9999.0,0.0,13.9
1949-07-05,-9999.0,0.0,14.1
1949-07-06,-9999.0,7.0,13.4
1949-07-07,-9999.0,9.6,12.1
1949-07-08,-9999.0,2.2,12.7
1949-07-09,-9999.0,0.0,11.2
1949-07-10,-9999.0,0.0,13.3
1949-07-11,-9999.0,0.0,15.4
1949-07-12,-9999.0,0.0,16.7
1949-07-13,-9999.0,0.0,17.2
1949-07-14,-9999.0,1.1,15.9
1949-07-15,-9999.0,2.7,16.3
1949-07-16,-9999.0,0.1,14.1
1949-07-17,-9999.0,2.0,12.1
1949-07-18,-9999.0,7.5,8.2
1949-07-19,-9999.0,0.0,8.4
1949-07-20,-9999.0,0.0,9.4
1949-07-21,-9999.0,0.0,10.8
1949-07-22,-9999.0,0.0,11.6
1949-07-23,-9999.0,0.0,13.2
1949-07-24,-9999.0,1.6,13.3
1949-07-25,-9999.0,0.0,11.9
1949-07-26,-9999.0,0.1,13.0
1949-07-27,-9999.0,0.0,14.7
1949-07-28,-9999.0,0.0,16.7
1949-07-29,-9999.0,0.0,16.3
1949-07-30,-9999.0,0.0,16.6
1949-07-31,-9999.0,0.0,15.4
1949-08-01,-9999.0,0.0,16.2
1949-08-02,-9999.0,0.0,16.1
1949-08-03,-9999.0,0.0,14.4
1949-08-04,-9999.0,0.0,11.2
1949-08-05,-9999.0,4.6,13.8
1949-08-06,-9999.0,5.1,14.6
1949-08-07,-9999.0,0.9,15.6
1949-08-08,-9999.0,0.0,16.7
1949-08-09,-9999.0,0.0,17.1
1949-08-10,-9999.0,0.0,15.8
1949-08-11,-9999.0,0.0,12.3
1949-08-12,-9999.0,0.0,8.4
1949-08-13,-9999.0,0.0,7.7
1949-08-14,-9999.0,0.0,8.4
1949-08-15,-9999.0,0.0,13.0
